Item,Trial Type,Min Time,Max Time,TrialNum,Settings,Settings2,Text,Shuffle,"AdvShuffle; target A, B, F",Phase,ArtistNum,Schedule
,similarityJudgmentTimed,,user,12,"""sets"":""1,2""","""status_message"": ""trial 12 of 88"", ""status_progress"": 0.136363636363636",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,13,"""sets"":""1,2""","""status_message"": ""trial 13 of 88"", ""status_progress"": 0.147727272727273",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,14,"""sets"":""1,2""","""status_message"": ""trial 14 of 88"", ""status_progress"": 0.159090909090909",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,15,"""sets"":""1,2""","""status_message"": ""trial 15 of 88"", ""status_progress"": 0.170454545454545",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,16,"""sets"":""1,2""","""status_message"": ""trial 16 of 88"", ""status_progress"": 0.181818181818182",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,17,"""sets"":""1,2""","""status_message"": ""trial 17 of 88"", ""status_progress"": 0.193181818181818",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,18,"""sets"":""1,2""","""status_message"": ""trial 18 of 88"", ""status_progress"": 0.204545454545455",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,19,"""sets"":""1,2""","""status_message"": ""trial 19 of 88"", ""status_progress"": 0.215909090909091",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,20,"""sets"":""1,2""","""status_message"": ""trial 20 of 88"", ""status_progress"": 0.227272727272727",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,21,"""sets"":""1,2""","""status_message"": ""trial 21 of 88"", ""status_progress"": 0.238636363636364",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,22,"""sets"":""1,2""","""status_message"": ""trial 22 of 88"", ""status_progress"": 0.25",,off,sj2.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,23,"""sets"":""1,2""","""status_message"": ""trial 23 of 88"", ""status_progress"": 0.261363636363636",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,24,"""sets"":""1,2""","""status_message"": ""trial 24 of 88"", ""status_progress"": 0.272727272727273",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,25,"""sets"":""1,2""","""status_message"": ""trial 25 of 88"", ""status_progress"": 0.284090909090909",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,26,"""sets"":""1,2""","""status_message"": ""trial 26 of 88"", ""status_progress"": 0.295454545454545",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,27,"""sets"":""1,2""","""status_message"": ""trial 27 of 88"", ""status_progress"": 0.306818181818182",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,28,"""sets"":""1,2""","""status_message"": ""trial 28 of 88"", ""status_progress"": 0.318181818181818",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,29,"""sets"":""1,2""","""status_message"": ""trial 29 of 88"", ""status_progress"": 0.329545454545455",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,30,"""sets"":""1,2""","""status_message"": ""trial 30 of 88"", ""status_progress"": 0.340909090909091",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,31,"""sets"":""1,2""","""status_message"": ""trial 31 of 88"", ""status_progress"": 0.352272727272727",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,32,"""sets"":""1,2""","""status_message"": ""trial 32 of 88"", ""status_progress"": 0.363636363636364",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,33,"""sets"":""1,2""","""status_message"": ""trial 33 of 88"", ""status_progress"": 0.375",,off,sj2.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,34,"""sets"":""1,2""","""status_message"": ""trial 34 of 88"", ""status_progress"": 0.386363636363636",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,35,"""sets"":""1,2""","""status_message"": ""trial 35 of 88"", ""status_progress"": 0.397727272727273",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,36,"""sets"":""1,2""","""status_message"": ""trial 36 of 88"", ""status_progress"": 0.409090909090909",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,37,"""sets"":""1,2""","""status_message"": ""trial 37 of 88"", ""status_progress"": 0.420454545454545",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,38,"""sets"":""1,2""","""status_message"": ""trial 38 of 88"", ""status_progress"": 0.431818181818182",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,39,"""sets"":""1,2""","""status_message"": ""trial 39 of 88"", ""status_progress"": 0.443181818181818",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,40,"""sets"":""1,2""","""status_message"": ""trial 40 of 88"", ""status_progress"": 0.454545454545455",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,41,"""sets"":""1,2""","""status_message"": ""trial 41 of 88"", ""status_progress"": 0.465909090909091",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,42,"""sets"":""1,2""","""status_message"": ""trial 42 of 88"", ""status_progress"": 0.477272727272727",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,43,"""sets"":""1,2""","""status_message"": ""trial 43 of 88"", ""status_progress"": 0.488636363636364",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,44,"""sets"":""1,2""","""status_message"": ""trial 44 of 88"", ""status_progress"": 0.5",,off,sj2.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,45,"""sets"":""1,2""","""status_message"": ""trial 45 of 88"", ""status_progress"": 0.511363636363636",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,46,"""sets"":""1,2""","""status_message"": ""trial 46 of 88"", ""status_progress"": 0.522727272727273",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,47,"""sets"":""1,2""","""status_message"": ""trial 47 of 88"", ""status_progress"": 0.534090909090909",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,48,"""sets"":""1,2""","""status_message"": ""trial 48 of 88"", ""status_progress"": 0.545454545454545",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,49,"""sets"":""1,2""","""status_message"": ""trial 49 of 88"", ""status_progress"": 0.556818181818182",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,50,"""sets"":""1,2""","""status_message"": ""trial 50 of 88"", ""status_progress"": 0.568181818181818",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,51,"""sets"":""1,2""","""status_message"": ""trial 51 of 88"", ""status_progress"": 0.579545454545455",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,52,"""sets"":""1,2""","""status_message"": ""trial 52 of 88"", ""status_progress"": 0.590909090909091",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,53,"""sets"":""1,2""","""status_message"": ""trial 53 of 88"", ""status_progress"": 0.602272727272727",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,54,"""sets"":""1,2""","""status_message"": ""trial 54 of 88"", ""status_progress"": 0.613636363636364",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,55,"""sets"":""1,2""","""status_message"": ""trial 55 of 88"", ""status_progress"": 0.625",,off,sj2.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,56,"""sets"":""1,2""","""status_message"": ""trial 56 of 88"", ""status_progress"": 0.636363636363636",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,57,"""sets"":""1,2""","""status_message"": ""trial 57 of 88"", ""status_progress"": 0.647727272727273",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,58,"""sets"":""1,2""","""status_message"": ""trial 58 of 88"", ""status_progress"": 0.659090909090909",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,59,"""sets"":""1,2""","""status_message"": ""trial 59 of 88"", ""status_progress"": 0.670454545454545",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,60,"""sets"":""1,2""","""status_message"": ""trial 60 of 88"", ""status_progress"": 0.681818181818182",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,61,"""sets"":""1,2""","""status_message"": ""trial 61 of 88"", ""status_progress"": 0.693181818181818",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,62,"""sets"":""1,2""","""status_message"": ""trial 62 of 88"", ""status_progress"": 0.704545454545455",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,63,"""sets"":""1,2""","""status_message"": ""trial 63 of 88"", ""status_progress"": 0.715909090909091",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,64,"""sets"":""1,2""","""status_message"": ""trial 64 of 88"", ""status_progress"": 0.727272727272727",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,65,"""sets"":""1,2""","""status_message"": ""trial 65 of 88"", ""status_progress"": 0.738636363636364",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,66,"""sets"":""1,2""","""status_message"": ""trial 66 of 88"", ""status_progress"": 0.75",,off,sj2.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,67,"""sets"":""1,2""","""status_message"": ""trial 67 of 88"", ""status_progress"": 0.761363636363636",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,68,"""sets"":""1,2""","""status_message"": ""trial 68 of 88"", ""status_progress"": 0.772727272727273",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,69,"""sets"":""1,2""","""status_message"": ""trial 69 of 88"", ""status_progress"": 0.784090909090909",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,70,"""sets"":""1,2""","""status_message"": ""trial 70 of 88"", ""status_progress"": 0.795454545454545",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,71,"""sets"":""1,2""","""status_message"": ""trial 71 of 88"", ""status_progress"": 0.806818181818182",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,72,"""sets"":""1,2""","""status_message"": ""trial 72 of 88"", ""status_progress"": 0.818181818181818",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,73,"""sets"":""1,2""","""status_message"": ""trial 73 of 88"", ""status_progress"": 0.829545454545455",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,74,"""sets"":""1,2""","""status_message"": ""trial 74 of 88"", ""status_progress"": 0.840909090909091",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,75,"""sets"":""1,2""","""status_message"": ""trial 75 of 88"", ""status_progress"": 0.852272727272727",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,76,"""sets"":""1,2""","""status_message"": ""trial 76 of 88"", ""status_progress"": 0.863636363636364",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,77,"""sets"":""1,2""","""status_message"": ""trial 77 of 88"", ""status_progress"": 0.875",,off,sj2.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,78,"""sets"":""1,2""","""status_message"": ""trial 78 of 88"", ""status_progress"": 0.886363636363636",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,79,"""sets"":""1,2""","""status_message"": ""trial 79 of 88"", ""status_progress"": 0.897727272727273",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,80,"""sets"":""1,2""","""status_message"": ""trial 80 of 88"", ""status_progress"": 0.909090909090909",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,81,"""sets"":""1,2""","""status_message"": ""trial 81 of 88"", ""status_progress"": 0.920454545454545",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,82,"""sets"":""1,2""","""status_message"": ""trial 82 of 88"", ""status_progress"": 0.931818181818182",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,83,"""sets"":""1,2""","""status_message"": ""trial 83 of 88"", ""status_progress"": 0.943181818181818",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,84,"""sets"":""1,2""","""status_message"": ""trial 84 of 88"", ""status_progress"": 0.954545454545455",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,85,"""sets"":""1,2""","""status_message"": ""trial 85 of 88"", ""status_progress"": 0.965909090909091",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,86,"""sets"":""1,2""","""status_message"": ""trial 86 of 88"", ""status_progress"": 0.977272727272727",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,87,"""sets"":""1,2""","""status_message"": ""trial 87 of 88"", ""status_progress"": 0.988636363636364",,off,sj2.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,88,"""sets"":""1,2""","""status_message"": ""trial 88 of 88"", ""status_progress"": 1",,off,sj2.8,SJ2,,Interleaved
,Instruct,,user,,,,"<p>You are halfway though this phase of the experiment. Please take a short break. You may step outside to stretch, use the restroom, or get a drink of water if you need to. If you choose to leave the room, please do so quietly so as not to distract other participants in the room.</p><p>After you take your break, please press the 'next' button below to begin the next section.</p> ",off,,,,
,instruct,,user,,,,"<p>This is the final phase of the experiment. You will continue to make similarity judgments for paintings you have encountered over the course of the experiment, as you've done before.</p><p>You will see a grid of 9 images on the screen. Click the two images that you believe look the most similar to the center image. Your first selection should be the image that you think looks most similar. </p><p>After you make your selection(s), a new display will be shown. </p><p><strong>Be sure to consider all images carefully when you are making your choices. </strong></p><p>Click ""next"" to begin the task.</p>",off,,,,
,similarityJudgmentTimed,,user,89,"""sets"":""1,2""","""status_message"": ""trial 1 of 88"", ""status_progress"": 0.0113636363636364",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,90,"""sets"":""1,2""","""status_message"": ""trial 2 of 88"", ""status_progress"": 0.0227272727272727",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,91,"""sets"":""1,2""","""status_message"": ""trial 3 of 88"", ""status_progress"": 0.0340909090909091",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,92,"""sets"":""1,2""","""status_message"": ""trial 4 of 88"", ""status_progress"": 0.0454545454545455",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,93,"""sets"":""1,2""","""status_message"": ""trial 5 of 88"", ""status_progress"": 0.0568181818181818",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,94,"""sets"":""1,2""","""status_message"": ""trial 6 of 88"", ""status_progress"": 0.0681818181818182",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,95,"""sets"":""1,2""","""status_message"": ""trial 7 of 88"", ""status_progress"": 0.0795454545454545",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,96,"""sets"":""1,2""","""status_message"": ""trial 8 of 88"", ""status_progress"": 0.0909090909090909",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,97,"""sets"":""1,2""","""status_message"": ""trial 9 of 88"", ""status_progress"": 0.102272727272727",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,98,"""sets"":""1,2""","""status_message"": ""trial 10 of 88"", ""status_progress"": 0.113636363636364",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,99,"""sets"":""1,2""","""status_message"": ""trial 11 of 88"", ""status_progress"": 0.125",,off,sj3.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,100,"""sets"":""1,2""","""status_message"": ""trial 12 of 88"", ""status_progress"": 0.136363636363636",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,101,"""sets"":""1,2""","""status_message"": ""trial 13 of 88"", ""status_progress"": 0.147727272727273",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,102,"""sets"":""1,2""","""status_message"": ""trial 14 of 88"", ""status_progress"": 0.159090909090909",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,103,"""sets"":""1,2""","""status_message"": ""trial 15 of 88"", ""status_progress"": 0.170454545454545",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,104,"""sets"":""1,2""","""status_message"": ""trial 16 of 88"", ""status_progress"": 0.181818181818182",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,105,"""sets"":""1,2""","""status_message"": ""trial 17 of 88"", ""status_progress"": 0.193181818181818",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,106,"""sets"":""1,2""","""status_message"": ""trial 18 of 88"", ""status_progress"": 0.204545454545455",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,107,"""sets"":""1,2""","""status_message"": ""trial 19 of 88"", ""status_progress"": 0.215909090909091",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,108,"""sets"":""1,2""","""status_message"": ""trial 20 of 88"", ""status_progress"": 0.227272727272727",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,109,"""sets"":""1,2""","""status_message"": ""trial 21 of 88"", ""status_progress"": 0.238636363636364",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,110,"""sets"":""1,2""","""status_message"": ""trial 22 of 88"", ""status_progress"": 0.25",,off,sj3.2,SJ2,,Interleaved
,similarityJudgmentTimed,,user,111,"""sets"":""1,2""","""status_message"": ""trial 23 of 88"", ""status_progress"": 0.261363636363636",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,112,"""sets"":""1,2""","""status_message"": ""trial 24 of 88"", ""status_progress"": 0.272727272727273",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,113,"""sets"":""1,2""","""status_message"": ""trial 25 of 88"", ""status_progress"": 0.284090909090909",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,114,"""sets"":""1,2""","""status_message"": ""trial 26 of 88"", ""status_progress"": 0.295454545454545",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,115,"""sets"":""1,2""","""status_message"": ""trial 27 of 88"", ""status_progress"": 0.306818181818182",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,116,"""sets"":""1,2""","""status_message"": ""trial 28 of 88"", ""status_progress"": 0.318181818181818",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,117,"""sets"":""1,2""","""status_message"": ""trial 29 of 88"", ""status_progress"": 0.329545454545455",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,118,"""sets"":""1,2""","""status_message"": ""trial 30 of 88"", ""status_progress"": 0.340909090909091",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,119,"""sets"":""1,2""","""status_message"": ""trial 31 of 88"", ""status_progress"": 0.352272727272727",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,120,"""sets"":""1,2""","""status_message"": ""trial 32 of 88"", ""status_progress"": 0.363636363636364",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,121,"""sets"":""1,2""","""status_message"": ""trial 33 of 88"", ""status_progress"": 0.375",,off,sj3.3,SJ2,,Interleaved
,similarityJudgmentTimed,,user,122,"""sets"":""1,2""","""status_message"": ""trial 34 of 88"", ""status_progress"": 0.386363636363636",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,123,"""sets"":""1,2""","""status_message"": ""trial 35 of 88"", ""status_progress"": 0.397727272727273",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,124,"""sets"":""1,2""","""status_message"": ""trial 36 of 88"", ""status_progress"": 0.409090909090909",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,125,"""sets"":""1,2""","""status_message"": ""trial 37 of 88"", ""status_progress"": 0.420454545454545",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,126,"""sets"":""1,2""","""status_message"": ""trial 38 of 88"", ""status_progress"": 0.431818181818182",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,127,"""sets"":""1,2""","""status_message"": ""trial 39 of 88"", ""status_progress"": 0.443181818181818",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,128,"""sets"":""1,2""","""status_message"": ""trial 40 of 88"", ""status_progress"": 0.454545454545455",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,129,"""sets"":""1,2""","""status_message"": ""trial 41 of 88"", ""status_progress"": 0.465909090909091",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,130,"""sets"":""1,2""","""status_message"": ""trial 42 of 88"", ""status_progress"": 0.477272727272727",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,131,"""sets"":""1,2""","""status_message"": ""trial 43 of 88"", ""status_progress"": 0.488636363636364",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,132,"""sets"":""1,2""","""status_message"": ""trial 44 of 88"", ""status_progress"": 0.5",,off,sj3.4,SJ2,,Interleaved
,similarityJudgmentTimed,,user,133,"""sets"":""1,2""","""status_message"": ""trial 45 of 88"", ""status_progress"": 0.511363636363636",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,134,"""sets"":""1,2""","""status_message"": ""trial 46 of 88"", ""status_progress"": 0.522727272727273",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,135,"""sets"":""1,2""","""status_message"": ""trial 47 of 88"", ""status_progress"": 0.534090909090909",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,136,"""sets"":""1,2""","""status_message"": ""trial 48 of 88"", ""status_progress"": 0.545454545454545",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,137,"""sets"":""1,2""","""status_message"": ""trial 49 of 88"", ""status_progress"": 0.556818181818182",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,138,"""sets"":""1,2""","""status_message"": ""trial 50 of 88"", ""status_progress"": 0.568181818181818",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,139,"""sets"":""1,2""","""status_message"": ""trial 51 of 88"", ""status_progress"": 0.579545454545455",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,140,"""sets"":""1,2""","""status_message"": ""trial 52 of 88"", ""status_progress"": 0.590909090909091",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,141,"""sets"":""1,2""","""status_message"": ""trial 53 of 88"", ""status_progress"": 0.602272727272727",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,142,"""sets"":""1,2""","""status_message"": ""trial 54 of 88"", ""status_progress"": 0.613636363636364",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,143,"""sets"":""1,2""","""status_message"": ""trial 55 of 88"", ""status_progress"": 0.625",,off,sj3.5,SJ2,,Interleaved
,similarityJudgmentTimed,,user,144,"""sets"":""1,2""","""status_message"": ""trial 56 of 88"", ""status_progress"": 0.636363636363636",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,145,"""sets"":""1,2""","""status_message"": ""trial 57 of 88"", ""status_progress"": 0.647727272727273",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,146,"""sets"":""1,2""","""status_message"": ""trial 58 of 88"", ""status_progress"": 0.659090909090909",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,147,"""sets"":""1,2""","""status_message"": ""trial 59 of 88"", ""status_progress"": 0.670454545454545",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,148,"""sets"":""1,2""","""status_message"": ""trial 60 of 88"", ""status_progress"": 0.681818181818182",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,149,"""sets"":""1,2""","""status_message"": ""trial 61 of 88"", ""status_progress"": 0.693181818181818",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,150,"""sets"":""1,2""","""status_message"": ""trial 62 of 88"", ""status_progress"": 0.704545454545455",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,151,"""sets"":""1,2""","""status_message"": ""trial 63 of 88"", ""status_progress"": 0.715909090909091",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,152,"""sets"":""1,2""","""status_message"": ""trial 64 of 88"", ""status_progress"": 0.727272727272727",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,153,"""sets"":""1,2""","""status_message"": ""trial 65 of 88"", ""status_progress"": 0.738636363636364",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,154,"""sets"":""1,2""","""status_message"": ""trial 66 of 88"", ""status_progress"": 0.75",,off,sj3.6,SJ2,,Interleaved
,similarityJudgmentTimed,,user,155,"""sets"":""1,2""","""status_message"": ""trial 67 of 88"", ""status_progress"": 0.761363636363636",,off,sj3.7,SJ2,,Interleaved
